bin,gap,id,spatial,freq,accident,alzheimer,suicide,drug,australia,belgium,canada,usa,education,health,military,socialsecurity,edu,age,race,gender,predict1,predict2,predict3,trueaus,truebel,truecan,trueus,trueedu,truehealth,truemilitary,truesocial,trueaccident,truealzheimer,truesuicide,truedrug,misleading,mispe,normal,predictonly,explainonly,predictexplain,gapvote,gapbudget,gapdeath,trend,trend2,region,familiarBudget,familiarDeath,familiarVote
1,108,15,7,1,51,16,28,56,55,63,53,43,20,14,26,40,2,3,0,1,53,40,71,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,71,20,17,14,4,1,1,1,1
1,114,16,3,3,36,55,31,77,42,87,54,67,5,16,3,8,2,1,0,0,68,8,77,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,35,48,31,9,9,3,1,1,1
1,127,17,5,1,53,59,10,41,62,72,68,73,36,51,75,30,1,1,2,0,75,10,13,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,10,112,5,6,12,1,0,1,0
1,142,18,6,2,39,34,21,28,39,48,61,43,12,12,24,30,1,0,2,0,53,36,26,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,94,2,46,10,8,2,1,0,1
1,148,19,5,2,34,16,24,48,30,57,35,91,14,42,24,30,2,1,0,0,90,7,64,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,72,30,46,11,7,2,0,0,0
1,179,20,2,2,58,36,44,46,44,65,32,47,32,42,53,19,3,3,0,0,72,49,40,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,97,66,16,11,7,2,0,2,1
1,190,21,1,3,51,25,36,27,59,68,56,33,27,44,40,61,4,4,0,0,33,61,27,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,69,92,29,16,2,0,1,1,1
1,312,22,1,1,41,31,36,36,29,27,31,9,38,45,48,48,2,1,1,0,94,38,66,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,189,99,24,13,5,0,0,2,0
1,315,23,1,3,11,32,18,11,13,20,10,28,14,26,12,23,2,1,2,0,11,15,10,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,214,5,96,6,12,1,2,1,1
2,7,1,2,2,57,25,34,53,74,82,66,58,6,25,16,34,3,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,5,1,1,17,1,2,0,1,1
2,9,2,3,3,55,24,30,53,81,88,62,57,5,25,17,33,3,2,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,3,0,6,17,1,1,1,0,1
2,20,3,7,4,50,26,39,57,74,77,62,60,3,25,16,32,3,3,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,12,4,4,16,2,1,1,1,1
2,33,4,6,2,61,32,22,57,80,90,61,57,15,33,21,37,2,1,1,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,3,26,4,16,2,0,1,0,1
2,51,5,2,3,39,50,27,48,78,93,60,50,21,36,25,41,2,2,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,4,43,4,13,5,3,1,1,1
2,54,6,4,1,42,37,54,52,71,61,63,57,28,21,23,12,3,2,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,33,4,17,8,10,0,1,1,1
2,65,7,9,1,63,48,35,53,75,70,62,57,4,20,10,33,1,2,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,21,13,31,17,1,3,0,0,0
2,68,8,8,3,60,38,28,52,65,63,60,57,7,42,16,33,3,2,2,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,40,18,10,16,2,0,0,1,1
2,70,9,5,3,63,34,30,54,64,75,67,57,10,42,20,43,2,2,1,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,22,35,13,15,3,2,2,1,2
2,72,10,7,2,60,39,28,52,63,55,67,57,7,42,16,33,2,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,43,18,11,13,5,3,0,1,1
2,91,11,1,2,37,10,18,35,79,82,64,57,23,30,24,23,2,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,3,20,68,14,4,0,1,0,1
2,152,12,1,2,34,20,38,55,63,57,66,37,29,44,28,48,3,3,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,62,69,21,13,5,1,2,1,1
2,181,13,5,0,50,34,30,52,53,35,49,24,21,52,15,47,1,0,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,124,55,2,13,5,1,0,0,0
2,191,14,3,1,59,23,14,53,29,20,21,57,24,15,22,33,4,4,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,158,14,19,10,8,2,2,1,2
2,202,15,1,2,50,78,46,37,54,30,35,66,30,35,43,31,2,4,2,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,100,59,43,7,11,1,2,2,2
2,204,16,5,1,34,37,40,47,47,26,39,54,38,29,34,54,2,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,119,75,10,8,10,2,2,1,2
2,227,17,0,4,43,19,24,30,26,34,32,39,17,24,24,36,2,1,2,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,154,21,52,12,6,1,1,2,1
2,243,18,4,2,45,30,32,29,59,39,30,58,64,57,31,40,2,1,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,99,112,32,10,8,1,1,2,1
2,258,19,3,2,36,56,72,42,23,58,41,29,32,48,60,26,2,3,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,134,86,38,6,12,1,1,1,1
2,330,20,1,2,29,27,19,18,18,12,14,29,36,27,37,23,2,2,2,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,212,43,75,6,12,1,2,1,1
3,7,1,9,3,60,22,30,56,76,85,65,59,5,25,19,38,2,3,0,0,47,9,6,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,0,7,0,17,1,1,1,0,1
3,17,2,10,1,55,24,30,52,81,88,62,57,8,25,19,35,3,1,2,0,53,6,38,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,3,7,7,17,1,3,0,0,1
3,29,3,8,1,53,19,32,54,72,77,62,57,13,20,16,33,1,1,2,0,64,9,69,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,17,2,10,16,2,0,0,1,1
3,38,4,4,3,69,27,18,64,79,87,63,57,4,47,23,33,3,4,0,1,43,2,75,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,1,27,10,15,3,2,1,1,1
3,64,5,4,1,63,19,30,53,48,72,63,55,9,8,16,33,2,1,0,1,34,8,75,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,47,14,3,13,5,1,1,1,1
3,65,6,7,2,41,31,24,53,69,67,63,57,7,14,9,33,2,2,0,0,65,28,28,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,29,17,19,16,2,0,1,0,0
3,68,7,9,2,42,26,38,53,65,56,63,57,13,28,22,32,2,2,0,0,48,40,16,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,44,15,9,15,3,3,2,1,2
3,80,8,7,2,57,3,27,53,74,58,69,41,5,28,13,43,2,4,0,1,75,35,40,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,43,9,28,17,1,3,1,0,0
3,83,9,6,1,44,32,43,42,68,57,48,37,21,13,39,8,1,0,0,0,43,7,41,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,75,1,7,12,6,2,1,1,0
3,110,10,2,1,31,14,40,49,74,83,70,57,48,38,24,45,2,1,0,1,51,7,23,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,1,75,34,12,6,2,0,0,1
3,112,11,2,3,35,14,27,33,64,61,59,56,12,27,15,34,2,2,0,0,60,5,30,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,45,8,59,18,0,3,1,0,1
3,140,12,4,2,57,37,55,44,63,71,63,57,43,39,49,33,2,2,0,1,70,3,44,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,31,84,25,10,8,2,1,1,1
3,161,13,3,1,52,45,23,59,85,77,80,55,51,38,55,74,2,0,0,0,50,84,62,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,12,138,11,13,5,1,0,0,0
3,169,14,7,2,50,22,33,44,49,53,48,42,17,40,31,49,2,2,0,1,39,1,23,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,93,57,19,17,1,3,0,1,1
3,206,15,5,1,60,32,39,68,36,42,36,33,44,31,13,29,2,1,0,1,72,2,81,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,138,37,31,11,7,2,1,1,2
3,211,16,0,1,27,45,55,67,36,45,33,45,35,23,31,50,1,1,0,0,73,37,44,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,126,59,26,8,10,2,1,1,1
3,214,17,1,2,36,54,44,30,15,28,30,14,13,20,16,43,2,3,0,1,31,24,19,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,198,12,4,10,8,0,1,1,1
3,233,18,0,2,41,13,22,35,40,56,14,71,22,57,24,49,3,2,0,0,69,30,43,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,104,72,57,13,5,1,1,1,2
3,277,19,0,1,28,35,21,1,20,39,33,57,26,24,43,45,1,2,0,0,25,43,45,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,136,58,83,7,11,1,2,2,2
3,284,20,2,4,47,60,43,74,40,48,77,90,85,52,71,70,2,1,0,0,42,53,23,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,30,198,56,4,14,1,1,1,1
