bin,id,gap,gain,spatial,freq,accident,alzheimer,suicide,drug,australia,belgium,canada,usa,education,health,military,socialsecurity,edu,age,race,gender,predict1,predict2,predict3,trueaus,truebel,truecan,trueus,trueedu,truehealth,truemilitary,truesocial,trueaccident,truealzheimer,truesuicide,truedrug,misleading,mispe,normal,predictonly,explainonly,predictexplain,gapvote,gapbudget,gapdeath,trend,trend2,region,familiarbudget,familiardeath,familiarvote,pregap,postgap
0,11,146,0,6,2,67,20,34,61,61,27,44,73,18,30,51,33,2,1,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,80,52,14,12,6,0,1,2,1,143,24
0,12,202,0,8,3,24,17,13,44,53,46,61,11,26,19,11,42,2,2,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,114,18,70,12,6,0,0,0,1,143,46
0,13,205,0,1,2,27,26,39,26,46,33,43,61,38,24,45,26,3,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,102,53,50,7,11,1,1,1,1,143,30
0,14,214,0,2,2,32,12,10,7,45,51,52,32,6,32,6,38,1,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,105,2,107,11,7,0,1,1,1,143,66
0,15,234,0,3,1,57,45,65,42,68,50,40,50,45,52,65,34,2,4,1,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,77,116,41,9,9,2,0,0,0,143,17
0,16,249,0,3,2,36,20,46,24,32,19,42,33,37,24,43,24,3,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,159,48,42,7,11,2,1,1,1,143,62
0,17,302,0,0,1,29,27,19,15,28,20,24,40,35,29,46,21,2,1,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,173,51,78,6,12,2,2,1,1,143,67
0,18,308,0,1,1,18,42,23,10,13,18,12,30,21,43,12,25,2,1,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,212,21,75,7,11,0,2,2,1,143,78
0,19,312,0,4,3,42,20,40,30,25,32,39,20,38,45,50,54,2,1,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,169,107,36,13,5,3,1,1,1,143,39
1,1,23,0.948718,7,2,50,26,35,57,76,69,62,57,4,25,16,33,2,2,0,0,50,10,5,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,21,2,0,17,1,1,1,1,1,78,4
1,2,35,0.6,8,2,56,17,33,45,83,70,58,64,7,40,25,16,2,0,0,1,64,8,40,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,10,8,17,15,3,3,1,1,1,45,18
1,3,44,0.4473684,8,3,53,11,33,48,79,72,66,50,31,11,17,24,2,2,0,0,55,35,19,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,18,3,23,14,4,3,1,1,1,38,21
1,4,49,0.7105263,3,4,56,35,42,53,68,82,61,57,7,26,17,44,3,2,0,0,60,6,45,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,17,14,18,17,1,0,0,0,1,38,11
1,5,57,0.4285714,5,1,38,20,16,47,83,72,62,65,4,38,16,15,1,1,0,0,65,15,55,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,3,7,47,13,5,3,1,1,1,28,16
1,6,70,0.9859155,4,1,57,39,28,52,63,55,67,57,8,42,16,33,2,3,1,0,65,8,15,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,43,19,8,13,5,1,1,0,1,71,1
1,7,71,0.1304348,3,1,50,28,16,32,79,87,62,61,24,31,20,30,2,1,0,1,63,30,39,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,4,25,42,14,4,3,1,0,0,23,20
1,8,80,0.0638298,9,4,54,27,34,44,66,50,66,48,8,32,17,7,1,2,0,0,49,6,41,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,55,16,9,13,5,0,0,0,0,47,44
1,9,83,0.6428571,4,4,53,15,20,48,71,45,64,57,4,27,13,33,2,4,0,1,53,33,43,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,48,3,32,16,2,3,1,1,1,14,5
1,10,85,0.5714286,8,3,54,18,11,58,89,79,74,57,14,30,40,40,1,4,0,0,54,40,35,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,14,44,27,14,4,1,1,0,1,28,12
1,11,96,0.1860465,8,0,37,18,23,37,57,83,61,62,7,16,27,9,1,2,2,0,61,9,38,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,22,21,53,10,8,2,0,0,1,43,35
1,12,101,0.8297873,5,3,51,33,25,75,56,68,67,45,19,40,26,31,2,1,0,0,41,18,69,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,49,36,16,13,5,2,1,1,1,47,8
1,13,104,0.0243902,4,3,23,30,36,36,80,62,65,22,12,38,24,1,2,1,2,0,22,1,38,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,56,5,43,10,8,0,1,1,1,82,84
1,14,108,0.6296296,4,1,59,33,48,44,67,48,55,45,27,8,13,10,2,1,0,0,54,10,54,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,70,22,16,11,7,2,1,0,1,27,44
1,15,108,0.862069,7,1,51,16,28,56,55,63,53,43,20,14,26,40,2,3,0,1,53,40,71,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,71,20,17,14,4,1,1,1,1,29,4
1,16,114,0.85,3,3,36,55,31,77,42,87,54,67,5,16,3,8,2,1,0,0,68,8,77,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,35,48,31,9,9,3,1,1,1,60,9
1,17,127,0.9876543,5,1,53,59,10,41,62,72,68,73,36,51,75,30,1,1,2,0,75,10,13,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,10,112,5,6,12,1,0,1,0,81,1
1,18,142,0.2352941,6,2,39,34,21,28,39,48,61,43,12,12,24,30,1,0,2,0,53,36,26,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,94,2,46,10,8,2,1,0,1,34,42
1,19,148,0.6285715,5,2,34,16,24,48,30,57,35,91,14,42,24,30,2,1,0,0,90,7,64,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,72,30,46,11,7,2,0,0,0,70,26
1,20,179,0.2954545,2,2,58,36,44,46,44,65,32,47,32,42,53,19,3,3,0,0,72,49,40,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,97,66,16,11,7,2,0,2,1,44,31
1,21,190,0.7179487,1,3,51,25,36,27,59,68,56,33,27,44,40,61,4,4,0,0,33,61,27,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,69,92,29,16,2,0,1,1,1,78,22
1,22,312,0.0909091,1,1,41,31,36,36,29,27,31,9,38,45,48,48,2,1,1,0,94,38,66,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,189,99,24,13,5,0,0,2,0,55,50
1,23,315,0.2429907,1,3,11,32,18,11,13,20,10,28,14,26,12,23,2,1,2,0,11,15,10,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,214,5,96,6,12,1,2,1,1,107,81
2,1,7,0,2,2,57,25,34,53,74,82,66,58,6,25,16,34,3,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,5,1,1,17,1,2,0,1,1,143,2
2,2,9,0,3,3,55,24,30,53,81,88,62,57,5,25,17,33,3,2,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,3,0,6,17,1,1,1,0,1,143,0
2,3,20,0,7,4,50,26,39,57,74,77,62,60,3,25,16,32,3,3,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,12,4,4,16,2,1,1,1,1,143,6
2,4,33,0,6,2,61,32,22,57,80,90,61,57,15,33,21,37,2,1,1,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,3,26,4,16,2,0,1,0,1,143,8
2,5,51,0,2,3,39,50,27,48,78,93,60,50,21,36,25,41,2,2,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,4,43,4,13,5,3,1,1,1,143,4
2,6,54,0,4,1,42,37,54,52,71,61,63,57,28,21,23,12,3,2,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,33,4,17,8,10,0,1,1,1,143,22
2,7,65,0,9,1,63,48,35,53,75,70,62,57,4,20,10,33,1,2,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,21,13,31,17,1,3,0,0,0,143,0
2,8,68,0,8,3,60,38,28,52,65,63,60,57,7,42,16,33,3,2,2,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,40,18,10,16,2,0,0,1,1,143,1
2,9,70,0,5,3,63,34,30,54,64,75,67,57,10,42,20,43,2,2,1,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,22,35,13,15,3,2,2,1,2,143,11
2,10,72,0,7,2,60,39,28,52,63,55,67,57,7,42,16,33,2,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,43,18,11,13,5,3,0,1,1,143,1
2,11,91,0,1,2,37,10,18,35,79,82,64,57,23,30,24,23,2,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,3,20,68,14,4,0,1,0,1,143,28
2,12,152,0,1,2,34,20,38,55,63,57,66,37,29,44,28,48,3,3,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,62,69,21,13,5,1,2,1,1,143,3
2,13,181,0,5,0,50,34,30,52,53,35,49,24,21,52,15,47,1,0,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,124,55,2,13,5,1,0,0,0,143,20
2,14,191,0,3,1,59,23,14,53,29,20,21,57,24,15,22,33,4,4,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,158,14,19,10,8,2,2,1,2,143,0
2,15,202,0,1,2,50,78,46,37,54,30,35,66,30,35,43,31,2,4,2,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,100,59,43,7,11,1,2,2,2,143,9
2,16,204,0,5,1,34,37,40,47,47,26,39,54,38,29,34,54,2,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,119,75,10,8,10,2,2,1,2,143,12
2,17,227,0,0,4,43,19,24,30,26,34,32,39,17,24,24,36,2,1,2,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,154,21,52,12,6,1,1,2,1,143,38
2,18,243,0,4,2,45,30,32,29,59,39,30,58,64,57,31,40,2,1,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,99,112,32,10,8,1,1,2,1,143,16
2,19,258,0,3,2,36,56,72,42,23,58,41,29,32,48,60,26,2,3,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,134,86,38,6,12,1,1,1,1,143,46
2,20,330,0,1,2,29,27,19,18,18,12,14,29,36,27,37,23,2,2,2,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,1,0,212,43,75,6,12,1,2,1,1,143,73
3,1,7,0.8765432,9,3,60,22,30,56,76,85,65,59,5,25,19,38,2,3,0,0,47,9,6,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,0,7,0,17,1,1,1,0,1,81,10
3,2,17,0.9782609,10,1,55,24,30,52,81,88,62,57,8,25,19,35,3,1,2,0,53,6,38,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,3,7,7,17,1,3,0,0,1,46,1
3,3,29,0.9787234,8,1,53,19,32,54,72,77,62,57,13,20,16,33,1,1,2,0,64,9,69,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,17,2,10,16,2,0,0,1,1,47,1
3,4,38,0.8358209,4,3,69,27,18,64,79,87,63,57,4,47,23,33,3,4,0,1,43,2,75,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,1,27,10,15,3,2,1,1,1,67,11
3,5,64,0.9714286,4,1,63,19,30,53,48,72,63,55,9,8,16,33,2,1,0,1,34,8,75,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,47,14,3,13,5,1,1,1,1,70,2
3,6,65,0.7368421,7,2,51,31,24,43,75,67,63,51,7,20,9,39,2,2,0,0,65,28,28,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,29,17,19,16,2,0,1,0,0,38,10
3,7,68,0.9811321,9,2,42,26,38,53,65,56,63,57,13,28,22,32,2,2,0,0,48,40,16,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,44,15,9,15,3,3,2,1,2,53,1
3,8,80,0.8181818,7,2,57,3,27,53,74,58,69,41,5,28,13,43,2,4,0,1,75,35,40,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,43,9,28,17,1,3,1,0,0,33,6
3,9,83,0.0769231,6,1,44,32,43,42,68,57,48,37,21,13,39,8,1,0,0,0,43,7,41,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,75,1,7,12,6,2,1,1,0,52,56
3,10,110,0.8709677,2,1,31,14,40,49,74,83,70,57,48,38,24,45,2,1,0,1,51,7,23,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,1,75,34,12,6,2,0,0,1,62,8
3,11,112,0.6296296,2,3,35,14,27,33,64,61,59,56,12,27,15,34,2,2,0,0,60,5,30,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,45,8,59,18,0,3,1,0,1,54,20
3,12,140,0.8269231,4,2,57,37,55,44,63,71,63,57,43,39,49,33,2,2,0,1,70,3,44,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,31,84,25,10,8,2,1,1,1,52,9
3,13,161,0.3283582,3,1,52,45,23,59,85,77,80,55,51,38,55,74,2,0,0,0,50,84,62,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,12,138,11,13,5,1,0,0,0,67,45
3,14,169,0.9,7,2,50,22,33,44,49,53,48,42,17,40,31,49,2,2,0,1,39,1,23,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,93,57,19,17,1,3,0,1,1,80,8
3,15,206,0.8243243,5,1,60,32,39,68,36,42,36,33,44,31,13,29,2,1,0,1,72,2,81,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,138,37,31,11,7,2,1,1,2,74,13
3,16,211,0.3448276,0,1,27,45,55,67,36,45,33,45,35,23,31,50,1,1,0,0,73,37,44,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,126,59,26,8,10,2,1,1,1,29,19
3,17,214,0.1884058,1,2,36,54,44,30,15,28,30,14,13,20,16,43,2,3,0,1,31,24,19,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,198,12,4,10,8,0,1,1,1,69,56
3,18,233,0.52,0,2,41,13,22,35,40,56,14,71,22,57,24,49,3,2,0,0,69,30,43,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,104,72,57,13,5,1,1,1,2,25,12
3,19,277,0.2,0,1,28,35,21,1,20,39,33,57,26,24,43,45,1,2,0,0,25,43,45,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,136,58,83,7,11,1,2,2,2,50,40
3,20,284,0.4,2,4,47,60,43,74,40,48,77,90,85,52,71,70,2,1,0,0,42,53,23,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,30,198,56,4,14,1,1,1,1,65,91
4,1,21,0,3,2,54,22,31,48,76,86,66,55,7,28,18,33,2,4,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,2,6,13,17,1,3,1,1,1,143,7
4,2,31,0,4,0,58,28,32,54,52,85,65,57,4,27,16,34,2,3,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,26,1,4,15,3,0,1,1,1,143,2
4,3,50,0,8,3,53,15,23,52,79,87,62,57,25,28,19,33,2,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,0,25,25,16,2,1,1,1,1,143,1
4,4,52,0,4,3,26,8,44,62,79,82,71,57,4,15,61,20,2,1,2,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,4,20,28,13,5,2,0,0,0,143,4
4,5,98,0,3,1,39,11,28,54,70,56,70,51,19,36,16,33,2,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,38,24,36,13,5,3,1,1,1,143,5
4,6,100,0,7,3,80,68,36,53,64,86,75,57,7,40,28,33,2,2,2,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,3,28,69,13,5,1,0,0,0,143,0
4,7,108,0,7,2,36,9,45,53,69,86,67,57,14,65,45,33,2,1,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,6,77,25,13,5,0,0,0,0,143,0
4,8,146,0,4,2,40,28,19,53,79,82,62,57,59,52,49,33,2,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,5,113,28,10,8,1,0,1,0,143,0
4,9,157,0,7,1,20,8,15,40,78,75,88,84,21,22,60,9,2,2,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,40,32,85,9,9,2,1,1,1,143,10
4,10,173,0,1,3,43,39,28,27,52,51,25,55,46,23,17,34,2,1,2,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,102,40,31,9,9,0,1,1,2,143,27
4,11,173,0,4,0,25,22,31,62,25,66,13,60,17,7,66,14,2,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,121,24,28,9,9,2,0,0,0,143,7
4,12,215,0,6,3,44,21,14,40,68,56,67,19,30,42,62,37,1,1,2,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,75,91,49,13,5,3,1,1,1,143,47
4,13,216,0,8,3,63,7,27,53,77,63,76,57,47,72,63,84,2,1,1,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,12,186,18,17,1,3,1,1,1,143,51
4,14,229,0,3,4,19,31,48,69,54,31,17,85,31,41,58,80,2,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,98,130,1,11,7,0,1,1,1,143,91
4,15,292,0,0,2,10,17,49,14,19,57,20,79,58,25,72,29,2,3,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,110,104,78,4,14,1,2,2,2,143,21
4,16,317,0,7,1,16,27,10,7,18,39,15,23,8,21,16,16,1,3,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,190,19,108,9,9,3,0,0,0,143,97
4,17,386,0,2,3,30,21,19,26,17,18,8,23,64,46,17,48,3,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,219,95,72,10,8,2,2,2,1,143,46
5,1,20,0.9268293,6,4,48,14,39,58,80,80,65,55,4,11,26,33,1,3,0,0,55,6,65,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,5,6,9,15,3,2,1,1,1,41,3
5,2,22,0.8378378,2,3,51,24,30,55,75,83,66,50,9,29,13,32,2,1,2,0,66,21,37,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,11,3,8,16,2,3,1,0,2,37,6
5,3,37,0.4848485,5,4,14,26,54,43,76,87,61,55,10,20,32,28,3,0,0,0,46,24,40,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,6,20,11,11,7,1,1,1,1,33,17
5,4,37,0.7534246,7,1,57,24,33,43,79,88,62,59,4,38,18,23,2,2,0,1,20,21,29,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,3,23,11,16,2,1,1,2,2,73,18
5,5,99,0.755102,4,3,50,11,15,41,83,60,68,57,18,34,26,33,3,1,0,0,68,12,36,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,17,31,51,16,2,1,1,1,2,49,12
5,6,132,0.6551724,1,2,39,53,48,24,81,71,55,54,37,43,59,45,3,1,0,1,59,5,25,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,24,104,4,11,7,0,1,1,1,58,20
5,7,152,0.7464789,7,2,59,19,10,54,83,40,72,57,58,26,39,50,2,1,0,0,71,6,23,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,33,93,26,11,7,2,2,1,1,71,18
5,8,155,0.5584416,4,4,56,41,28,38,43,60,50,43,46,30,37,28,2,2,0,0,20,11,35,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,89,61,5,7,11,1,0,1,1,77,34
5,9,162,0.680851,8,2,66,25,53,28,75,69,61,44,37,56,53,56,1,1,0,0,70,12,40,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,36,122,4,16,2,1,1,1,1,47,15
5,10,163,0.1176471,3,3,27,54,40,41,37,51,68,49,41,49,29,38,2,1,2,1,65,28,49,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,80,77,6,6,12,1,1,1,1,17,15
5,11,169,0.7368421,3,1,38,27,65,91,79,80,80,50,22,50,85,35,2,0,1,1,60,32,68,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,4,112,53,10,8,2,1,1,1,19,33
5,12,179,0.704918,9,1,54,24,18,59,37,85,49,40,27,33,50,62,2,2,0,0,66,12,22,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,74,92,13,12,6,1,0,0,1,61,18
5,13,270,0.5783132,1,1,47,13,28,30,19,41,54,71,41,40,42,77,2,4,0,0,20,12,28,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,100,120,50,10,8,0,1,1,1,83,35
5,14,275,0.1842105,4,2,39,21,33,23,31,43,16,31,52,27,33,27,2,2,2,0,20,18,29,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,164,59,52,8,10,0,1,2,1,76,62
5,15,294,0.3,0,2,13,28,14,23,16,9,19,45,12,31,17,12,2,1,0,0,20,8,25,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,196,8,90,5,13,1,2,1,1,90,63
5,16,300,0.0434783,3,2,29,21,35,18,25,16,10,15,34,25,15,22,2,2,2,1,20,6,25,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,219,16,65,10,8,1,1,1,2,92,88
5,17,364,0.0714286,2,2,76,63,52,39,59,47,38,66,82,70,78,77,2,2,0,1,20,29,54,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,75,227,62,7,11,3,1,1,1,42,39
