bin,id,gap,gain,spatial,freq,accident,alzheimer,suicide,drug,australia,belgium,canada,usa,education,health,military,socialsecurity,edu,age,race,gender,predict1,predict2,predict3,trueaus,truebel,truecan,trueus,trueedu,truehealth,truemilitary,truesocial,trueaccident,truealzheimer,truesuicide,truedrug,misleading,mispe,normal,predictonly,explainonly,predictexplain,gapvote,gapbudget,gapdeath,trend,trend2,region,familiarbudget,familiardeath,familiarvote,pregap,postgap,spatial_group,sgroup1,sgroup2,sgroup3,sgroup4,sgroup5
3,5,64,97.14286,4,1,63,19,30,53,48,72,63,55,9,8,16,33,2,1,0,1,34,8,75,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,47,14,3,13,5,1,1,1,1,70,2,0,0,0,1,0,0
3,6,65,73.68421,7,2,51,31,24,43,75,67,63,51,7,20,9,39,2,2,0,0,65,28,28,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,29,17,19,16,2,0,1,0,0,38,10,1,0,0,0,1,0
3,7,68,98.11321,9,2,42,26,38,53,65,56,63,57,13,28,22,32,2,2,0,0,48,40,16,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,44,15,9,15,3,3,2,1,2,53,1,1,0,0,0,0,1
3,8,80,81.81818,7,2,57,3,27,53,74,58,69,41,5,28,13,43,2,4,0,1,75,35,40,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,43,9,28,17,1,3,1,0,0,33,6,1,0,0,0,1,0
3,9,83,-7.692308,6,1,44,32,43,42,68,57,48,37,21,13,39,8,1,0,0,0,43,7,41,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,75,1,7,12,6,2,1,1,0,52,56,1,0,0,0,1,0
3,10,110,87.09677,2,1,31,14,40,49,74,83,70,57,48,38,24,45,2,1,0,1,51,7,23,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,1,75,34,12,6,2,0,0,1,62,8,0,0,1,0,0,0
3,11,112,62.96296,2,3,35,14,27,33,64,61,59,56,12,27,15,34,2,2,0,0,60,5,30,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,45,8,59,18,0,3,1,0,1,54,20,0,0,1,0,0,0
3,12,140,82.69231,4,2,57,37,55,44,63,71,63,57,43,39,49,33,2,2,0,1,70,3,44,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,31,84,25,10,8,2,1,1,1,52,9,0,0,0,1,0,0
3,13,161,32.83582,3,1,52,45,23,59,85,77,80,55,51,38,55,74,2,0,0,0,50,84,62,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,12,138,11,13,5,1,0,0,0,67,45,0,0,1,0,0,0
3,14,169,90,7,2,50,22,33,44,49,53,48,42,17,40,31,49,2,2,0,1,39,1,23,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,93,57,19,17,1,3,0,1,1,80,8,1,0,0,0,1,0
3,15,206,82.43243,5,1,60,32,39,68,36,42,36,33,44,31,13,29,2,1,0,1,72,2,81,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,138,37,31,11,7,2,1,1,2,74,13,0,0,0,1,0,0
3,16,211,34.48276,0,1,27,45,55,67,36,45,33,45,35,23,31,50,1,1,0,0,73,37,44,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,126,59,26,8,10,2,1,1,1,29,19,0,1,0,0,0,0
3,17,214,18.84058,1,2,36,54,44,30,15,28,30,14,13,20,16,43,2,3,0,1,31,24,19,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,198,12,4,10,8,0,1,1,1,69,56,0,1,0,0,0,0
3,18,233,52,0,2,41,13,22,35,40,56,14,71,22,57,24,49,3,2,0,0,69,30,43,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,104,72,57,13,5,1,1,1,2,25,12,0,1,0,0,0,0
3,19,277,20,0,1,28,35,21,1,20,39,33,57,26,24,43,45,1,2,0,0,25,43,45,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,136,58,83,7,11,1,2,2,2,50,40,0,1,0,0,0,0
3,20,284,-40,2,4,47,60,43,74,40,48,77,90,85,52,71,70,2,1,0,0,42,53,23,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,30,198,56,4,14,1,1,1,1,65,91,0,0,1,0,0,0
5,1,20,92.68293,6,4,48,14,39,58,80,80,65,55,4,11,26,33,1,3,0,0,55,6,65,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,5,6,9,15,3,2,1,1,1,41,3,1,0,0,0,1,0
5,2,22,83.78378,2,3,51,24,30,55,75,83,66,50,9,29,13,32,2,1,2,0,66,21,37,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,11,3,8,16,2,3,1,0,2,37,6,0,0,1,0,0,0
5,3,37,48.48485,5,4,14,26,54,43,76,87,61,55,10,20,32,28,3,0,0,0,46,24,40,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,6,20,11,11,7,1,1,1,1,33,17,0,0,0,1,0,0
5,4,37,75.34247,7,1,57,24,33,43,79,88,62,59,4,38,18,23,2,2,0,1,20,21,29,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,3,23,11,16,2,1,1,2,2,73,18,1,0,0,0,1,0
5,5,99,75.5102,4,3,50,11,15,41,83,60,68,57,18,34,26,33,3,1,0,0,68,12,36,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,17,31,51,16,2,1,1,1,2,49,12,0,0,0,1,0,0
5,6,132,65.51724,1,2,39,53,48,24,81,71,55,54,37,43,59,45,3,1,0,1,59,5,25,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,24,104,4,11,7,0,1,1,1,58,20,0,1,0,0,0,0
5,7,152,74.64789,7,2,59,19,10,54,83,40,72,57,58,26,39,50,2,1,0,0,71,6,23,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,33,93,26,11,7,2,2,1,1,71,18,1,0,0,0,1,0
5,8,155,55.84416,4,4,56,41,28,38,43,60,50,43,46,30,37,28,2,2,0,0,20,11,35,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,89,61,5,7,11,1,0,1,1,77,34,0,0,0,1,0,0
5,9,162,68.08511,8,2,66,25,53,28,75,69,61,44,37,56,53,56,1,1,0,0,70,12,40,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,36,122,4,16,2,1,1,1,1,47,15,1,0,0,0,0,1
5,10,163,11.76471,3,3,27,54,40,41,37,51,68,49,41,49,29,38,2,1,2,1,65,28,49,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,80,77,6,6,12,1,1,1,1,17,15,0,0,1,0,0,0
5,11,169,-73.68421,3,1,38,27,65,91,79,80,80,50,22,50,85,35,2,0,1,1,60,32,68,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,4,112,53,10,8,2,1,1,1,19,33,0,0,1,0,0,0
5,12,179,70.49181,9,1,54,24,18,59,37,85,49,40,27,33,50,62,2,2,0,0,66,12,22,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,74,92,13,12,6,1,0,0,1,61,18,1,0,0,0,0,1
5,13,270,57.83132,1,1,47,13,28,30,19,41,54,71,41,40,42,77,2,4,0,0,20,12,28,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,100,120,50,10,8,0,1,1,1,83,35,0,1,0,0,0,0
5,14,275,18.42105,4,2,39,21,33,23,31,43,16,31,52,27,33,27,2,2,2,0,20,18,29,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,164,59,52,8,10,0,1,2,1,76,62,0,0,0,1,0,0
5,15,294,30,0,2,13,28,14,23,16,9,19,45,12,31,17,12,2,1,0,0,20,8,25,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,196,8,90,5,13,1,2,1,1,90,63,0,1,0,0,0,0
5,16,300,4.347826,3,2,29,21,35,18,25,16,10,15,34,25,15,22,2,2,2,1,20,6,25,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,219,16,65,10,8,1,1,1,2,92,88,0,0,1,0,0,0
5,17,364,7.142858,2,2,76,63,52,39,59,47,38,66,82,70,78,77,2,2,0,1,20,29,54,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,75,227,62,7,11,3,1,1,1,42,39,0,0,1,0,0,0
