bin,gap,id,spatial,freq,accident,alzheimer,suicide,drug,australia,belgium,canada,usa,education,health,military,socialsecurity,edu,age,race,gender,predict1,predict2,predict3,trueaus,truebel,truecan,trueus,trueedu,truehealth,truemilitary,truesocial,trueaccident,truealzheimer,truesuicide,truedrug,misleading,mispe,normal,predictonly,explainonly,predictexplain,gapvote,gapbudget,gapdeath,trend,trend2,region,familiarBudget,familiarDeath,familiarVote
4,173,11,4,0,25,22,31,62,25,66,13,60,17,7,66,14,2,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,121,24,28,9,9,2,0,0,0
4,215,12,6,3,44,21,14,40,68,56,67,19,30,42,62,37,1,1,2,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,75,91,49,13,5,3,1,1,1
4,216,13,8,3,63,7,27,53,77,63,76,57,47,72,63,84,2,1,1,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,12,186,18,17,1,3,1,1,1
4,229,14,3,4,19,31,48,69,54,31,17,85,31,41,58,80,2,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,98,130,1,11,7,0,1,1,1
4,292,15,0,2,10,17,49,14,19,57,20,79,58,25,72,29,2,3,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,110,104,78,4,14,1,2,2,2
4,317,16,7,1,16,27,10,7,18,39,15,23,8,21,16,16,1,3,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,190,19,108,9,9,3,0,0,0
4,386,17,2,3,30,21,19,26,17,18,8,23,64,46,17,48,3,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,219,95,72,10,8,2,2,2,1
5,20,1,6,4,48,14,39,58,80,80,65,55,4,11,26,33,1,3,0,0,55,6,65,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,5,6,9,15,3,2,1,1,1
5,22,2,2,3,51,24,30,55,75,83,66,50,9,29,13,32,2,1,2,0,66,21,37,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,11,3,8,16,2,3,1,0,2
5,37,3,5,4,16,24,64,53,74,86,62,57,10,20,37,33,3,0,0,0,46,24,40,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,6,20,11,11,7,1,1,1,1
5,37,4,7,1,57,14,33,53,79,90,62,57,4,48,18,33,2,2,0,1,20,21,29,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,3,23,11,16,2,1,1,2,2
5,99,5,4,3,50,11,15,41,83,60,68,57,18,34,26,33,3,1,0,0,68,12,36,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,17,31,51,16,2,1,1,1,2
5,132,6,1,2,39,53,48,24,81,71,55,54,37,43,59,45,3,1,0,1,59,5,25,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,24,104,4,11,7,0,1,1,1
5,152,7,7,2,59,19,10,54,83,40,72,57,58,26,39,50,2,1,0,0,71,6,23,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,33,93,26,11,7,2,2,1,1
5,155,8,4,4,56,41,28,38,43,60,50,43,46,30,37,28,2,2,0,0,20,11,35,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,89,61,5,7,11,1,0,1,1
5,162,9,8,2,66,25,53,28,75,69,61,44,37,56,53,56,1,1,0,0,70,12,40,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,36,122,4,16,2,1,1,1,1
5,163,10,3,3,27,54,40,41,37,51,68,49,41,49,29,38,2,1,2,1,65,28,49,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,80,77,6,6,12,1,1,1,1
5,169,11,3,1,38,27,65,91,79,80,80,50,22,50,85,35,2,0,1,1,60,32,68,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,4,112,53,10,8,2,1,1,1
5,179,12,9,1,54,24,18,59,37,85,49,40,27,33,50,62,2,2,0,0,66,12,22,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,74,92,13,12,6,1,0,0,1
5,270,13,1,1,47,13,28,30,19,41,54,71,41,40,42,77,2,4,0,0,20,12,28,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,100,120,50,10,8,0,1,1,1
5,275,14,4,2,39,21,33,23,31,43,16,31,52,27,33,27,2,2,2,0,20,18,29,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,164,59,52,8,10,0,1,2,1
5,294,15,0,2,13,28,14,23,16,9,19,45,12,31,17,12,2,1,0,0,20,8,25,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,196,8,90,5,13,1,2,1,1
5,300,16,3,2,29,21,35,18,25,16,10,15,34,25,15,22,2,2,2,1,20,6,25,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,219,16,65,10,8,1,1,1,2
5,364,17,2,2,76,63,52,39,59,47,38,66,82,70,78,77,2,2,0,1,20,29,54,79,87,62,57,4,27,16,33,57,27,31,53,0,1,0,0,0,0,75,227,62,7,11,3,1,1,1
